"year","subject","unit_name","cluster","item_id","item_id_short","int_pval","int_pval_se","int_slope","int_diff","int_step1","int_step2","item_format","is_mc","is_poly","process","process_short","subscale","text_format"
2009,"M","""MATH - P2000  A View Room (Q01)""","M1, UHM","M033Q01","M033Q01",75.3,0.2,NA,-1.65,NA,NA,"MC",1,0,NA,"Interpret","Space and Shape",NA
2009,"M","""MATH - P2000  Bricks (Q01)""","M1","M034Q01T","M034Q01",42.4,0.23,NA,0.2,NA,NA,"CCR",0,0,NA,"Formulate","Space and Shape",NA
2009,"M","""MATH - P2000  Population Pyramids (Q01)""","M1","M155Q01","M155Q01",66.3,0.22,NA,-1.1,NA,NA,"OCR",0,0,NA,"Interpret","Change and Relationships",NA
2009,"M","""MATH - P2000  Population Pyramids (Q02)""","M1","M155Q02D","M155Q02",61.5,0.21,NA,-0.68,0.57,-0.57,"OCR",0,1,NA,"Employ","Change and Relationships",NA
2009,"M","""MATH - P2000  Population Pyramids (Q03)""","M1","M155Q03D","M155Q03",18.5,0.16,NA,1.39,0.21,-0.21,"OCR",0,1,NA,"Employ","Change and Relationships",NA
2009,"M","""MATH - P2000  Population Pyramids (Q04)""","M1","M155Q04T","M155Q04",54.9,0.23,NA,-0.43,NA,NA,"CMC",1,0,NA,"Interpret","Change and Relationships",NA
2009,"M","""MATH - P2000  Containers (Q01)""","M3","M192Q01T","M192Q01",41.1,0.24,NA,0.3,NA,NA,"CMC",1,0,NA,"Formulate","Change and Relationships",NA
2009,"M","""MATH - P2000  Pipelines (Q01)""","M2","M273Q01T","M273Q01",52.7,0.23,NA,-0.33,NA,NA,"CMC",1,0,NA,"Employ","Space and Shape",NA
2009,"M","""MATH - P2003  Running Tracks (Q01)""","M3","M406Q01","M406Q01",26.7,0.22,NA,1.07,NA,NA,"OCR",0,0,NA,"Employ","Space and Shape",NA
2009,"M","""MATH - P2003  Running Tracks (Q02)""","M3","M406Q02","M406Q02",16.7,0.19,NA,1.88,NA,NA,"OCR",0,0,NA,"Formulate","Space and Shape",NA
2009,"M","""MATH - P2003  Lotteries (Q01)""","M2","M408Q01T","M408Q01",40.2,0.22,NA,0.3,NA,NA,"CMC",1,0,NA,"Interpret","Uncertainty and data",NA
2009,"M","""MATH - P2003  Diving (Q01)""","M1","M411Q01","M411Q01",47.9,0.25,NA,-0.06,NA,NA,"SR",0,0,NA,"Employ","Quantity",NA
2009,"M","""MATH - P2003  Diving (Q02)""","M1","M411Q02","M411Q02",44.8,0.23,NA,0.16,NA,NA,"MC",1,0,NA,"Interpret","Uncertainty and data",NA
2009,"M","""MATH - P2003  Transport (Q01)""","M2","M420Q01T","M420Q01",50.6,0.23,NA,-0.21,NA,NA,"CMC",1,0,NA,"Interpret","Uncertainty and data",NA
2009,"M","""MATH - P2003  Tossing Coins (Q01)""","M3","M423Q01","M423Q01",79.1,0.19,NA,-1.85,NA,NA,"MC",1,0,NA,"Interpret","Uncertainty and data",NA
2009,"M","""MATH - P2003  Braille (Q02)""","M1","M442Q02","M442Q02",38.4,0.24,NA,0.47,NA,NA,"CCR",0,0,NA,"Interpret","Quantity",NA
2009,"M","""MATH - P2003  Thermometer Cricket (Q01)""","M2","M446Q01","M446Q01",69,0.22,NA,-1.18,NA,NA,"SR",0,0,NA,"Formulate","Change and Relationships",NA
2009,"M","""MATH - P2003 Thermometer Cricket (Q02)""","M2","M446Q02","M446Q02",7.1,0.13,NA,2.99,NA,NA,"OCR",0,0,NA,"Formulate","Change and Relationships",NA
2009,"M","""MATH - P2003  Tile Arrangement (Q01)""","M2","M447Q01","M447Q01",67.4,0.21,NA,-1.09,NA,NA,"MC",1,0,NA,"Employ","Space and Shape",NA
